,ACCT_NUM,ATA,AID,BPOA,EPOA,A,MAIN,SUB,GWA_TAS_NAME,Agency AID,Agency Name,ADMIN_ORG,Admin Org Name,FR Entity Type,FR Entity Description,Financial Indicator Type2,FIN_IND_TYP2 description,Function Code,Function Description,Sub Function Code,Sub Function Description,DT_TM_ESTAB,DT_END
0,7, ,000, , ,X,0102,000,"Compensation and Mileage of the Vice President and Senators, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
1,8, ,000, , ,X,0107,000,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
2,9, ,000, , ,X,0110,000,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
3,10, ,000, , ,X,0115,000,"Payment to Widows and Heirs of Deceased Members of Congress, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
4,11, ,000, , ,X,0118,000,"Contingent Expenses, Folding Documents, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
5,12, ,000, , ,X,0123,000,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
6,13, ,000, , ,X,0126,000,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,07/15/1990,
7,14, ,000, , ,X,0127,000,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/15/1989,
8,15, ,000, , ,X,0128,000,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,10/01/1987,
9,16, ,000, , ,X,0130,000,"Contingent Expenses, Senator's Official Personnel and Office    Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions,11/15/1990,
